Groups,Paths,OID,Name,Unit,Tips,AccessMode,DataType,ByteSize,Ratio,Range,Options
"Settings,Overview,Element Identification",,T02.P0002,Vendor,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0004,Element Model Number,,,rw,string,20,,,
"Settings,Overview,Element Identification",,T02.P0005,Element Serial Number,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P000A,Software Version,,,ro,string,20,,,
"Settings,Overview,Element Identification",,T02.P0101,Device ID,,Hexadecimal,rw,binary,4,,,
"Settings,Overview,Element Identification",,T02.P0102,Device Sub ID,,Decimalism,rw,uint8,1,,,
"Settings,Overview,Element Identification",,T02.P0023,Installed Location Label,,,rw,string,40,,,
"Settings,Overview,Element Identification",,T02.P0024,Site Name,,,ro,string,100,,,
"Settings,Overview,Element Identification",,T02.P0030,Device Name,,,rw,string,40,,,
"Settings,Overview,Date And Time",,T02.P0150,System Date And Time,,,rw,datetime,7,,,
"Settings,Band Configuration,Radio Module 1",,T02.P04A0,Radio Module 1 RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Radio Module 1",,T02.P0D29,Radio Module 1 UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0D28,Radio Module 1 UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0D27,Radio Module 1 DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P0D26,Radio Module 1 DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 1",,T02.P04D2,Radio Module 1 UL Attenuation,dB,,rw,uint8,1,2,0 ~ 40,
"Settings,Band Configuration,Radio Module 1",,T02.P04D3,Radio Module 1 DL Attenuation,dB,,rw,uint8,1,2,0 ~ 40,
"Settings,Band Configuration,Radio Module 2",,T02.P04A1,Radio Module 2 RF Signal Active,,,rw,binary,1,,,00=Off;01=On
"Settings,Band Configuration,Radio Module 2",,T02.P0D49,Radio Module 2 UL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0D48,Radio Module 2 UL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0D47,Radio Module 2 DL Frequency Start,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P0D46,Radio Module 2 DL Frequency End,MHz,,ro,uint32,4,1000,,
"Settings,Band Configuration,Radio Module 2",,T02.P04D4,Radio Module 2 UL Attenuation,dB,,rw,uint8,1,2,0 ~ 40,
"Settings,Band Configuration,Radio Module 2",,T02.P04D5,Radio Module 2 DL Attenuation,dB,,rw,uint8,1,2,0 ~ 40,
"Settings,Band Configuration,Radio Module Mapping (HP-RU AU)",,T02.P0BB0,Radio Module 1 Mapping,,,ro,binary,2,,,
"Settings,Band Configuration,Radio Module Mapping (HP-RU AU)",,T02.P0BB1,Radio Module 2 Mapping,,,ro,binary,2,,,
"Settings,Band Configuration,Delay Compensation",,T02.P0BEA,Delay Compensation Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,Radio Signal Information,Radio Module 1",,T02.P05D1,Radio Module 1 UL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Radio Module 1",,T02.P05D2,Radio Module 1 DL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Radio Module 1",,T02.P05D0,Radio Module 1 Digital Filter Bandwidth,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Radio Module 1",,T02.P0A31,Radio Module 1 UL Input Power,dBm,,ro,int16,2,10,-750 ~ -300,
"Settings,Radio Signal Information,Radio Module 1",,T02.P0578,Radio Module 1 DL Output Power,dBm,,ro,int16,2,10,200 ~ 460,
"Settings,Radio Signal Information,Radio Module 1",,T02.P0514,Radio Module 1 VSWR,,,ro,int16,2,10,10 ~ 100,
"Settings,Radio Signal Information,Radio Module 1",,T02.P006F,Radio Module 1 Serial Number,,,ro,string,20,,,
"Settings,Radio Signal Information,Radio Module 2",,T02.P05D4,Radio Module 2 UL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Radio Module 2",,T02.P05D5,Radio Module 2 DL Centre Frequency,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Radio Module 2",,T02.P05D3,Radio Module 2 Digital Filter Bandwidth,MHz,,ro,uint32,4,1000,,
"Settings,Radio Signal Information,Radio Module 2",,T02.P0A33,Radio Module 2 UL Input Power,dBm,,ro,int16,2,10,-750 ~ -300,
"Settings,Radio Signal Information,Radio Module 2",,T02.P0579,Radio Module 2 DL Output Power,dBm,,ro,int16,2,10,200 ~ 430,
"Settings,Radio Signal Information,Radio Module 2",,T02.P051A,Radio Module 2 VSWR,,,ro,int16,2,10,10 ~ 100,
"Settings,Radio Signal Information,Radio Module 2",,T02.P0616,Radio Module 2 Serial Number,,,ro,string,20,,,
"Settings,Radio Signal Information,General",,T02.P0501,Element Operating Temperature,℃,,ro,int8,1,,,
"Settings,Radio Signal Information,General",,T02.P0881,Open Load Detect Switch,,,rw,binary,1,,,00=Off;01=On
"Settings,Radio Signal Information,Uplink Baseband Power",,T02.P0A30,Radio Module 1 UL Baseband Input Power,dBm,,ro,int16,2,10,,
"Settings,Radio Signal Information,Uplink Baseband Power",,T02.P0A32,Radio Module 2 UL Baseband Input Power,dBm,,ro,int16,2,10,,
